FENCE_ID|FENCE_TYPE|BELONG_AREA
长乐路0_L_A17001|0|0
长乐路0_L_A17002|0|0
长乐路0_L_A17003|0|0
长乐路0_L_A17004|0|0
长乐路0_L_A17005|0|0
长乐路0_L_A17006|0|0
长乐路0_L_A17007|0|0
长乐路0_L_A17008|0|0
长乐路0_L_A17009|0|0
长乐路0_L_A17010|0|0
长乐路0_L_A17011|0|0
长乐路0_L_A17012|0|0
长乐路0_L_A17013|0|0
长乐路0_L_A17014|0|0
长乐路0_L_A17015|0|0
长乐路0_L_A17016|0|0
长乐路0_L_A17017|0|0
长乐路0_L_A17018|0|1
长乐路0_L_A17019|0|0
长乐路0_R_A17001|0|0
长乐路0_R_A17002|0|1
长乐路0_R_A17003|0|0
长乐路0_R_A17004|0|0
长乐路0_R_A17005|0|0
长乐路0_R_A17006|0|0
长乐路0_R_A17007|0|0
长乐路0_R_A17008|0|0
长乐路0_R_A17009|0|0
长乐路0_R_A17010|0|0
长乐路0_R_A17011|0|0
长乐路0_R_A17012|0|0
长乐路0_R_A17013|0|0
长乐路0_R_A17014|0|0
长乐路0_R_A17015|0|0
长乐路0_R_A17016|0|0
长乐路0_R_A17017|0|0
长乐路0_R_A17018|0|0
长乐路0_R_A17019|0|0
长乐路0_R_A17020|0|0
长浩路0_L_A17001|0|2
长浩路0_L_A17002|0|3
长浩路0_L_A17003|0|3
长浩路0_L_A17004|0|3
长浩路0_L_A17005|0|4
长浩路0_L_A17006|0|4
长浩路0_L_A17007|0|4
长浩路0_L_A17008|0|4
长浩路0_L_A17009|0|4
长浩路0_L_A17010|0|4
长浩路0_L_A17011|0|4
长浩路0_L_A17012|0|4
长浩路0_L_A17013|0|5
长浩路0_R_A17001|0|6
长浩路0_R_A17002|0|4
长浩路0_R_A17003|0|4
长浩路0_R_A17004|0|4
长浩路0_R_A17005|0|4
长浩路0_R_A17006|0|4
长浩路0_R_A17007|0|4
长浩路0_R_A17008|0|4
长浩路0_R_A17009|0|7
长浩路0_R_A17010|0|7
长浩路0_R_A17011|0|8
长浩路0_R_A17012|0|9
长浩路0_R_A17013|0|4
七星西路0_L_1|0|10
七星西路0_L_2|0|11
七星西路0_L_3|0|12
七星西路0_R_1|0|13
七星西路0_R_2|0|14
七星西路0_R_3|0|15
七星西路_L_1|0|16
七星西路_L_2_A|0|16
七星西路_L_2_B|0|10
七星西路_L_3_A|0|17
七星西路_L_3_B|0|10
七星西路_L_4_A|0|18
七星西路_L_4_B|0|11
七星西路_L_5_A|0|19
七星西路_L_5_B|0|11
七星西路_L_6|0|12
七星西路_L_7|0|12
七星西路_R_1_A|0|15
七星西路_R_1_B|0|20
七星西路_R_2_A|0|13
七星西路_R_2_B|0|13
七星西路_R_3_A|0|20
七星西路_R_3_B|0|21
七星西路_R_4|0|22
七星西路_R_5|0|23
七星路0_R_1|0|24
七星路_L_1_A|0|25
七星路_L_1_B|0|26
七星路_L_2_A|0|25
七星路_L_2_B|0|26
七星路_L_3|0|25
七星路_R_1|0|27
七星路_R_10|0|28
七星路_R_11|0|26
七星路_R_2|0|29
七星路_R_3|0|24
七星路_R_4|0|24
七星路_R_5|0|24
七星路_R_6|0|24
